alleg_list
harvey weinstein
chris savino
robert scoble
lockhart steele
josh besh
terry richardson
leon wieseltier
knight landesman
rick najera
mark halperin
ken baker
kevin spacey
hamilton fish
michael oreskes
andy dick
kirt webster
brett ratner
jeff hoover
david guillod
benjamin genocchio
louis ck
roy moore
al franken
richard dreyfuss
gary goddard
dustin hoffman
robert knepper
andrew kreisberg
jeremy piven
steven seagal
tom sizemore
jeffrey tambor
george takei
james toback
matthew weiner
stephen blackwell
jann wenner
matt zimmerman
stephen bittel
jeff clemens
jack latvala
michael fallon
alex gilady
danny jordaan
sepp blatter
glenn thrush
charlie rose
john lasseter
matt lauer
garrison keillor
john conyers
israel horovitz
russell simmons
nick carter
james levine
ruben kihuen
blake farenthold
lorin stein
danny masterson
matt dababneh
david sweeney
trent franks
wes goodman
tony cornish
warren moon
