date_start,date_end,date_resolution,station,value,name
2017-10-01,2017-10-01T23:59:59Z,day,Bloomberg,0,harvey weinstein
2017-10-01,2017-10-01T23:59:59Z,day,CNBC,0,harvey weinstein
2017-10-01,2017-10-01T23:59:59Z,day,CNN,0,harvey weinstein
2017-10-01,2017-10-01T23:59:59Z,day,FOX Business,0,harvey weinstein
2017-10-01,2017-10-01T23:59:59Z,day,FOX News,0,harvey weinstein
2017-10-01,2017-10-01T23:59:59Z,day,MSNBC,0,harvey weinstein
2017-10-02,2017-10-02T23:59:59Z,day,Bloomberg,0,harvey weinstein
2017-10-02,2017-10-02T23:59:59Z,day,CNBC,0,harvey weinstein
2017-10-02,2017-10-02T23:59:59Z,day,CNN,0,harvey weinstein
2017-10-02,2017-10-02T23:59:59Z,day,FOX Business,0,harvey weinstein
2017-10-02,2017-10-02T23:59:59Z,day,FOX News,0,harvey weinstein
2017-10-02,2017-10-02T23:59:59Z,day,MSNBC,0,harvey weinstein
2017-10-03,2017-10-03T23:59:59Z,day,Bloomberg,0,harvey weinstein
2017-10-03,2017-10-03T23:59:59Z,day,CNBC,0,harvey weinstein
2017-10-03,2017-10-03T23:59:59Z,day,CNN,0,harvey weinstein
2017-10-03,2017-10-03T23:59:59Z,day,FOX Business,0,harvey weinstein
2017-10-03,2017-10-03T23:59:59Z,day,FOX News,0,harvey weinstein
2017-10-03,2017-10-03T23:59:59Z,day,MSNBC,0,harvey weinstein
2017-10-04,2017-10-04T23:59:59Z,day,Bloomberg,0,harvey weinstein
2017-10-04,2017-10-04T23:59:59Z,day,CNBC,0,harvey weinstein
2017-10-04,2017-10-04T23:59:59Z,day,CNN,0,harvey weinstein
2017-10-04,2017-10-04T23:59:59Z,day,FOX Business,0,harvey weinstein
2017-10-04,2017-10-04T23:59:59Z,day,FOX News,0,harvey weinstein
2017-10-04,2017-10-04T23:59:59Z,day,MSNBC,0,harvey weinstein
2017-10-05,2017-10-05T23:59:59Z,day,Bloomberg,0,harvey weinstein
2017-10-05,2017-10-05T23:59:59Z,day,CNBC,3,harvey weinstein
2017-10-05,2017-10-05T23:59:59Z,day,CNN,5,harvey weinstein
2017-10-05,2017-10-05T23:59:59Z,day,FOX Business,0,harvey weinstein
2017-10-05,2017-10-05T23:59:59Z,day,FOX News,0,harvey weinstein
2017-10-05,2017-10-05T23:59:59Z,day,MSNBC,0,harvey weinstein
2017-10-06,2017-10-06T23:59:59Z,day,Bloomberg,4,harvey weinstein
2017-10-06,2017-10-06T23:59:59Z,day,CNBC,5,harvey weinstein
2017-10-06,2017-10-06T23:59:59Z,day,CNN,0,harvey weinstein
2017-10-06,2017-10-06T23:59:59Z,day,FOX Business,8,harvey weinstein
2017-10-06,2017-10-06T23:59:59Z,day,FOX News,14,harvey weinstein
2017-10-06,2017-10-06T23:59:59Z,day,MSNBC,5,harvey weinstein
2017-10-07,2017-10-07T23:59:59Z,day,Bloomberg,0,harvey weinstein
2017-10-07,2017-10-07T23:59:59Z,day,CNBC,0,harvey weinstein
2017-10-07,2017-10-07T23:59:59Z,day,CNN,4,harvey weinstein
2017-10-07,2017-10-07T23:59:59Z,day,FOX Business,0,harvey weinstein
2017-10-07,2017-10-07T23:59:59Z,day,FOX News,13,harvey weinstein
2017-10-07,2017-10-07T23:59:59Z,day,MSNBC,3,harvey weinstein
2017-10-08,2017-10-08T23:59:59Z,day,Bloomberg,2,harvey weinstein
2017-10-08,2017-10-08T23:59:59Z,day,CNBC,0,harvey weinstein
2017-10-08,2017-10-08T23:59:59Z,day,CNN,23,harvey weinstein
2017-10-08,2017-10-08T23:59:59Z,day,FOX Business,0,harvey weinstein
2017-10-08,2017-10-08T23:59:59Z,day,FOX News,6,harvey weinstein
2017-10-08,2017-10-08T23:59:59Z,day,MSNBC,37,harvey weinstein
2017-10-09,2017-10-09T23:59:59Z,day,Bloomberg,13,harvey weinstein
2017-10-09,2017-10-09T23:59:59Z,day,CNBC,17,harvey weinstein
2017-10-09,2017-10-09T23:59:59Z,day,CNN,33,harvey weinstein
2017-10-09,2017-10-09T23:59:59Z,day,FOX Business,44,harvey weinstein
2017-10-09,2017-10-09T23:59:59Z,day,FOX News,24,harvey weinstein
2017-10-09,2017-10-09T23:59:59Z,day,MSNBC,62,harvey weinstein
2017-10-10,2017-10-10T23:59:59Z,day,Bloomberg,0,harvey weinstein
2017-10-10,2017-10-10T23:59:59Z,day,CNBC,12,harvey weinstein
2017-10-10,2017-10-10T23:59:59Z,day,CNN,89,harvey weinstein
2017-10-10,2017-10-10T23:59:59Z,day,FOX Business,50,harvey weinstein
2017-10-10,2017-10-10T23:59:59Z,day,FOX News,90,harvey weinstein
2017-10-10,2017-10-10T23:59:59Z,day,MSNBC,61,harvey weinstein
2017-10-11,2017-10-11T23:59:59Z,day,Bloomberg,3,harvey weinstein
2017-10-11,2017-10-11T23:59:59Z,day,CNBC,1,harvey weinstein
2017-10-11,2017-10-11T23:59:59Z,day,CNN,163,harvey weinstein
2017-10-11,2017-10-11T23:59:59Z,day,FOX Business,63,harvey weinstein
2017-10-11,2017-10-11T23:59:59Z,day,FOX News,171,harvey weinstein
2017-10-11,2017-10-11T23:59:59Z,day,MSNBC,123,harvey weinstein
2017-10-12,2017-10-12T23:59:59Z,day,Bloomberg,5,harvey weinstein
2017-10-12,2017-10-12T23:59:59Z,day,CNBC,1,harvey weinstein
2017-10-12,2017-10-12T23:59:59Z,day,CNN,50,harvey weinstein
2017-10-12,2017-10-12T23:59:59Z,day,FOX Business,38,harvey weinstein
2017-10-12,2017-10-12T23:59:59Z,day,FOX News,135,harvey weinstein
2017-10-12,2017-10-12T23:59:59Z,day,MSNBC,23,harvey weinstein
2017-10-13,2017-10-13T23:59:59Z,day,Bloomberg,5,harvey weinstein
2017-10-13,2017-10-13T23:59:59Z,day,CNBC,16,harvey weinstein
2017-10-13,2017-10-13T23:59:59Z,day,CNN,17,harvey weinstein
2017-10-13,2017-10-13T23:59:59Z,day,FOX Business,55,harvey weinstein
2017-10-13,2017-10-13T23:59:59Z,day,FOX News,139,harvey weinstein
2017-10-13,2017-10-13T23:59:59Z,day,MSNBC,16,harvey weinstein
2017-10-14,2017-10-14T23:59:59Z,day,Bloomberg,0,harvey weinstein
2017-10-14,2017-10-14T23:59:59Z,day,CNBC,0,harvey weinstein
2017-10-14,2017-10-14T23:59:59Z,day,CNN,34,harvey weinstein
2017-10-14,2017-10-14T23:59:59Z,day,FOX Business,11,harvey weinstein
2017-10-14,2017-10-14T23:59:59Z,day,FOX News,201,harvey weinstein
2017-10-14,2017-10-14T23:59:59Z,day,MSNBC,61,harvey weinstein
2017-10-15,2017-10-15T23:59:59Z,day,Bloomberg,0,harvey weinstein
2017-10-15,2017-10-15T23:59:59Z,day,CNBC,0,harvey weinstein
2017-10-15,2017-10-15T23:59:59Z,day,CNN,29,harvey weinstein
2017-10-15,2017-10-15T23:59:59Z,day,FOX Business,11,harvey weinstein
2017-10-15,2017-10-15T23:59:59Z,day,FOX News,79,harvey weinstein
2017-10-15,2017-10-15T23:59:59Z,day,MSNBC,50,harvey weinstein
2017-10-16,2017-10-16T23:59:59Z,day,Bloomberg,1,harvey weinstein
2017-10-16,2017-10-16T23:59:59Z,day,CNBC,10,harvey weinstein
2017-10-16,2017-10-16T23:59:59Z,day,CNN,9,harvey weinstein
2017-10-16,2017-10-16T23:59:59Z,day,FOX Business,40,harvey weinstein
2017-10-16,2017-10-16T23:59:59Z,day,FOX News,49,harvey weinstein
2017-10-16,2017-10-16T23:59:59Z,day,MSNBC,27,harvey weinstein
2017-10-17,2017-10-17T23:59:59Z,day,Bloomberg,4,harvey weinstein
2017-10-17,2017-10-17T23:59:59Z,day,CNBC,1,harvey weinstein
2017-10-17,2017-10-17T23:59:59Z,day,CNN,15,harvey weinstein
2017-10-17,2017-10-17T23:59:59Z,day,FOX Business,33,harvey weinstein
2017-10-17,2017-10-17T23:59:59Z,day,FOX News,65,harvey weinstein
2017-10-17,2017-10-17T23:59:59Z,day,MSNBC,12,harvey weinstein
2017-10-18,2017-10-18T23:59:59Z,day,Bloomberg,0,harvey weinstein
2017-10-18,2017-10-18T23:59:59Z,day,CNBC,3,harvey weinstein
2017-10-18,2017-10-18T23:59:59Z,day,CNN,8,harvey weinstein
2017-10-18,2017-10-18T23:59:59Z,day,FOX Business,10,harvey weinstein
2017-10-18,2017-10-18T23:59:59Z,day,FOX News,35,harvey weinstein
2017-10-18,2017-10-18T23:59:59Z,day,MSNBC,16,harvey weinstein
2017-10-19,2017-10-19T23:59:59Z,day,Bloomberg,2,harvey weinstein
2017-10-19,2017-10-19T23:59:59Z,day,CNBC,3,harvey weinstein
2017-10-19,2017-10-19T23:59:59Z,day,CNN,2,harvey weinstein
2017-10-19,2017-10-19T23:59:59Z,day,FOX Business,6,harvey weinstein
2017-10-19,2017-10-19T23:59:59Z,day,FOX News,6,harvey weinstein
2017-10-19,2017-10-19T23:59:59Z,day,MSNBC,4,harvey weinstein
2017-10-20,2017-10-20T23:59:59Z,day,Bloomberg,0,harvey weinstein
2017-10-20,2017-10-20T23:59:59Z,day,CNBC,2,harvey weinstein
2017-10-20,2017-10-20T23:59:59Z,day,CNN,7,harvey weinstein
2017-10-20,2017-10-20T23:59:59Z,day,FOX Business,14,harvey weinstein
2017-10-20,2017-10-20T23:59:59Z,day,FOX News,20,harvey weinstein
2017-10-20,2017-10-20T23:59:59Z,day,MSNBC,5,harvey weinstein
2017-10-21,2017-10-21T23:59:59Z,day,Bloomberg,3,harvey weinstein
2017-10-21,2017-10-21T23:59:59Z,day,CNBC,0,harvey weinstein
2017-10-21,2017-10-21T23:59:59Z,day,CNN,5,harvey weinstein
2017-10-21,2017-10-21T23:59:59Z,day,FOX Business,0,harvey weinstein
2017-10-21,2017-10-21T23:59:59Z,day,FOX News,15,harvey weinstein
2017-10-21,2017-10-21T23:59:59Z,day,MSNBC,1,harvey weinstein
2017-10-22,2017-10-22T23:59:59Z,day,Bloomberg,5,harvey weinstein
2017-10-22,2017-10-22T23:59:59Z,day,CNBC,0,harvey weinstein
2017-10-22,2017-10-22T23:59:59Z,day,CNN,8,harvey weinstein
2017-10-22,2017-10-22T23:59:59Z,day,FOX Business,0,harvey weinstein
2017-10-22,2017-10-22T23:59:59Z,day,FOX News,12,harvey weinstein
2017-10-22,2017-10-22T23:59:59Z,day,MSNBC,18,harvey weinstein
2017-10-23,2017-10-23T23:59:59Z,day,Bloomberg,0,harvey weinstein
2017-10-23,2017-10-23T23:59:59Z,day,CNBC,2,harvey weinstein
2017-10-23,2017-10-23T23:59:59Z,day,CNN,8,harvey weinstein
2017-10-23,2017-10-23T23:59:59Z,day,FOX Business,0,harvey weinstein
2017-10-23,2017-10-23T23:59:59Z,day,FOX News,8,harvey weinstein
2017-10-23,2017-10-23T23:59:59Z,day,MSNBC,7,harvey weinstein
2017-10-24,2017-10-24T23:59:59Z,day,Bloomberg,2,harvey weinstein
2017-10-24,2017-10-24T23:59:59Z,day,CNBC,0,harvey weinstein
2017-10-24,2017-10-24T23:59:59Z,day,CNN,15,harvey weinstein
2017-10-24,2017-10-24T23:59:59Z,day,FOX Business,0,harvey weinstein
2017-10-24,2017-10-24T23:59:59Z,day,FOX News,0,harvey weinstein
2017-10-24,2017-10-24T23:59:59Z,day,MSNBC,4,harvey weinstein
2017-10-25,2017-10-25T23:59:59Z,day,Bloomberg,1,harvey weinstein
2017-10-25,2017-10-25T23:59:59Z,day,CNBC,0,harvey weinstein
2017-10-25,2017-10-25T23:59:59Z,day,CNN,8,harvey weinstein
2017-10-25,2017-10-25T23:59:59Z,day,FOX Business,1,harvey weinstein
2017-10-25,2017-10-25T23:59:59Z,day,FOX News,3,harvey weinstein
2017-10-25,2017-10-25T23:59:59Z,day,MSNBC,2,harvey weinstein
2017-10-26,2017-10-26T23:59:59Z,day,Bloomberg,4,harvey weinstein
2017-10-26,2017-10-26T23:59:59Z,day,CNBC,2,harvey weinstein
2017-10-26,2017-10-26T23:59:59Z,day,CNN,8,harvey weinstein
2017-10-26,2017-10-26T23:59:59Z,day,FOX Business,0,harvey weinstein
2017-10-26,2017-10-26T23:59:59Z,day,FOX News,1,harvey weinstein
2017-10-26,2017-10-26T23:59:59Z,day,MSNBC,7,harvey weinstein
2017-10-27,2017-10-27T23:59:59Z,day,Bloomberg,1,harvey weinstein
2017-10-27,2017-10-27T23:59:59Z,day,CNBC,2,harvey weinstein
2017-10-27,2017-10-27T23:59:59Z,day,CNN,12,harvey weinstein
2017-10-27,2017-10-27T23:59:59Z,day,FOX Business,6,harvey weinstein
2017-10-27,2017-10-27T23:59:59Z,day,FOX News,8,harvey weinstein
2017-10-27,2017-10-27T23:59:59Z,day,MSNBC,12,harvey weinstein
2017-10-28,2017-10-28T23:59:59Z,day,Bloomberg,0,harvey weinstein
2017-10-28,2017-10-28T23:59:59Z,day,CNBC,0,harvey weinstein
2017-10-28,2017-10-28T23:59:59Z,day,CNN,2,harvey weinstein
2017-10-28,2017-10-28T23:59:59Z,day,FOX Business,0,harvey weinstein
2017-10-28,2017-10-28T23:59:59Z,day,FOX News,8,harvey weinstein
2017-10-28,2017-10-28T23:59:59Z,day,MSNBC,0,harvey weinstein
2017-10-29,2017-10-29T23:59:59Z,day,Bloomberg,0,harvey weinstein
2017-10-29,2017-10-29T23:59:59Z,day,CNBC,0,harvey weinstein
2017-10-29,2017-10-29T23:59:59Z,day,CNN,1,harvey weinstein
2017-10-29,2017-10-29T23:59:59Z,day,FOX Business,0,harvey weinstein
2017-10-29,2017-10-29T23:59:59Z,day,FOX News,9,harvey weinstein
2017-10-29,2017-10-29T23:59:59Z,day,MSNBC,2,harvey weinstein
2017-10-30,2017-10-30T23:59:59Z,day,Bloomberg,1,harvey weinstein
2017-10-30,2017-10-30T23:59:59Z,day,CNBC,0,harvey weinstein
2017-10-30,2017-10-30T23:59:59Z,day,CNN,8,harvey weinstein
2017-10-30,2017-10-30T23:59:59Z,day,FOX Business,0,harvey weinstein
2017-10-30,2017-10-30T23:59:59Z,day,FOX News,2,harvey weinstein
2017-10-30,2017-10-30T23:59:59Z,day,MSNBC,0,harvey weinstein
2017-10-31,2017-10-31T23:59:59Z,day,Bloomberg,0,harvey weinstein
2017-10-31,2017-10-31T23:59:59Z,day,CNBC,0,harvey weinstein
2017-10-31,2017-10-31T23:59:59Z,day,CNN,0,harvey weinstein
2017-10-31,2017-10-31T23:59:59Z,day,FOX Business,4,harvey weinstein
2017-10-31,2017-10-31T23:59:59Z,day,FOX News,1,harvey weinstein
