date_start,name,station,count_date_person_station
2017-10-01,al franken,Bloomberg,0
2017-10-01,al franken,CNBC,0
2017-10-01,al franken,CNN,0
2017-10-01,al franken,Fox Business,0
2017-10-01,al franken,Fox News,0
2017-10-01,al franken,MSNBC,0
2017-10-01,andy dick,Bloomberg,0
2017-10-01,andy dick,CNBC,0
2017-10-01,andy dick,CNN,0
2017-10-01,andy dick,Fox Business,0
2017-10-01,andy dick,Fox News,0
2017-10-01,andy dick,MSNBC,0
2017-10-01,blake farenthold,Bloomberg,0
2017-10-01,blake farenthold,CNN,0
2017-10-01,blake farenthold,Fox Business,0
2017-10-01,blake farenthold,Fox News,0
2017-10-01,blake farenthold,MSNBC,0
2017-10-01,brett ratner,Bloomberg,0
2017-10-01,brett ratner,CNBC,0
2017-10-01,brett ratner,CNN,0
2017-10-01,brett ratner,Fox Business,0
2017-10-01,brett ratner,Fox News,0
2017-10-01,brett ratner,MSNBC,0
2017-10-01,charlie rose,Bloomberg,2
2017-10-01,charlie rose,CNBC,0
2017-10-01,charlie rose,CNN,0
2017-10-01,charlie rose,Fox Business,0
2017-10-01,charlie rose,Fox News,0
2017-10-01,charlie rose,MSNBC,0
2017-10-01,danny masterson,CNBC,0
2017-10-01,danny masterson,CNN,0
2017-10-01,danny masterson,Fox News,0
2017-10-01,dustin hoffman,Bloomberg,0
2017-10-01,dustin hoffman,CNBC,0
2017-10-01,dustin hoffman,CNN,0
2017-10-01,dustin hoffman,Fox Business,0
2017-10-01,dustin hoffman,Fox News,0
2017-10-01,dustin hoffman,MSNBC,0
2017-10-01,garrison keillor,CNBC,0
2017-10-01,garrison keillor,CNN,0
2017-10-01,garrison keillor,Fox Business,0
2017-10-01,garrison keillor,Fox News,0
2017-10-01,garrison keillor,MSNBC,0
2017-10-01,gary goddard,Bloomberg,0
2017-10-01,gary goddard,Fox News,0
2017-10-01,gary goddard,MSNBC,0
2017-10-01,george takei,Bloomberg,0
2017-10-01,george takei,CNBC,0
2017-10-01,george takei,CNN,0
2017-10-01,george takei,Fox News,0
2017-10-01,george takei,MSNBC,0
2017-10-01,glenn thrush,Bloomberg,0
2017-10-01,glenn thrush,CNBC,0
2017-10-01,glenn thrush,CNN,0
2017-10-01,glenn thrush,Fox Business,0
2017-10-01,glenn thrush,Fox News,0
2017-10-01,glenn thrush,MSNBC,0
2017-10-01,harvey weinstein,Bloomberg,0
2017-10-01,harvey weinstein,CNBC,0
2017-10-01,harvey weinstein,CNN,0
2017-10-01,harvey weinstein,Fox Business,0
2017-10-01,harvey weinstein,Fox News,0
2017-10-01,harvey weinstein,MSNBC,0
2017-10-01,james levine,Bloomberg,0
2017-10-01,james levine,CNN,0
2017-10-01,james levine,Fox Business,0
2017-10-01,james levine,Fox News,0
2017-10-01,james levine,MSNBC,0
2017-10-01,james toback,CNN,0
2017-10-01,james toback,Fox Business,0
2017-10-01,james toback,Fox News,0
2017-10-01,james toback,MSNBC,0
2017-10-01,jann wenner,Bloomberg,0
2017-10-01,jann wenner,MSNBC,0
2017-10-01,jeff clemens,MSNBC,0
2017-10-01,jeffrey tambor,Bloomberg,0
2017-10-01,jeffrey tambor,CNBC,0
2017-10-01,jeffrey tambor,CNN,0
2017-10-01,jeffrey tambor,Fox News,0
2017-10-01,jeffrey tambor,MSNBC,0
2017-10-01,jeremy piven,Bloomberg,0
2017-10-01,jeremy piven,CNBC,0
2017-10-01,jeremy piven,CNN,0
2017-10-01,jeremy piven,Fox Business,0
2017-10-01,jeremy piven,Fox News,0
2017-10-01,jeremy piven,MSNBC,0
2017-10-01,john conyers,Bloomberg,0
2017-10-01,john conyers,CNBC,0
2017-10-01,john conyers,CNN,0
2017-10-01,john conyers,Fox Business,0
2017-10-01,john conyers,Fox News,0
2017-10-01,john conyers,MSNBC,0
2017-10-01,john lasseter,Bloomberg,0
2017-10-01,john lasseter,CNBC,0
