date_start,station,count_date_station
2017-10-01,Bloomberg,8
2017-10-01,CNBC,0
2017-10-01,CNN,2
2017-10-01,Fox Business,9
2017-10-01,Fox News,13
2017-10-01,MSNBC,10
2017-10-02,Bloomberg,2
2017-10-02,CNBC,0
2017-10-02,CNN,0
2017-10-02,Fox Business,8
2017-10-02,Fox News,1
2017-10-02,MSNBC,4
2017-10-03,Bloomberg,6
2017-10-03,CNBC,0
2017-10-03,CNN,0
2017-10-03,Fox Business,0
2017-10-03,Fox News,0
2017-10-03,MSNBC,1
2017-10-04,Bloomberg,5
2017-10-04,CNBC,0
2017-10-04,CNN,0
2017-10-04,Fox Business,3
2017-10-04,Fox News,0
2017-10-04,MSNBC,0
2017-10-05,Bloomberg,5
2017-10-05,CNBC,3
2017-10-05,CNN,7
2017-10-05,Fox Business,0
2017-10-05,Fox News,0
2017-10-05,MSNBC,6
2017-10-06,Bloomberg,8
2017-10-06,CNBC,5
2017-10-06,CNN,1
2017-10-06,Fox Business,8
2017-10-06,Fox News,14
2017-10-06,MSNBC,12
2017-10-07,Bloomberg,3
2017-10-07,CNBC,0
2017-10-07,CNN,4
2017-10-07,Fox Business,4
2017-10-07,Fox News,13
2017-10-07,MSNBC,13
2017-10-08,Bloomberg,5
2017-10-08,CNBC,0
2017-10-08,CNN,23
2017-10-08,Fox Business,0
2017-10-08,Fox News,6
2017-10-08,MSNBC,39
2017-10-09,Bloomberg,15
2017-10-09,CNBC,17
2017-10-09,CNN,35
2017-10-09,Fox Business,49
2017-10-09,Fox News,24
2017-10-09,MSNBC,64
2017-10-10,Bloomberg,2
2017-10-10,CNBC,12
2017-10-10,CNN,91
2017-10-10,Fox Business,53
2017-10-10,Fox News,90
2017-10-10,MSNBC,71
2017-10-11,Bloomberg,6
2017-10-11,CNBC,1
2017-10-11,CNN,164
2017-10-11,Fox Business,63
2017-10-11,Fox News,171
2017-10-11,MSNBC,130
2017-10-12,Bloomberg,9
2017-10-12,CNBC,1
2017-10-12,CNN,50
2017-10-12,Fox Business,39
2017-10-12,Fox News,135
2017-10-12,MSNBC,33
2017-10-13,Bloomberg,9
2017-10-13,CNBC,16
2017-10-13,CNN,18
2017-10-13,Fox Business,55
2017-10-13,Fox News,140
2017-10-13,MSNBC,21
