date_start,station,w_other,count_date_station_w_other
2017-10-01,Bloomberg,Others,2
2017-10-01,Bloomberg,Weinstein,0
2017-10-01,CNBC,Others,0
2017-10-01,CNBC,Weinstein,0
2017-10-01,CNN,Others,0
2017-10-01,CNN,Weinstein,0
2017-10-01,Fox Business,Others,0
2017-10-01,Fox Business,Weinstein,0
2017-10-01,Fox News,Others,0
2017-10-01,Fox News,Weinstein,0
2017-10-01,MSNBC,Others,0
2017-10-01,MSNBC,Weinstein,0
2017-10-02,Bloomberg,Others,2
2017-10-02,Bloomberg,Weinstein,0
2017-10-02,CNBC,Others,0
2017-10-02,CNBC,Weinstein,0
2017-10-02,CNN,Others,0
2017-10-02,CNN,Weinstein,0
2017-10-02,Fox Business,Others,0
2017-10-02,Fox Business,Weinstein,0
2017-10-02,Fox News,Others,0
2017-10-02,Fox News,Weinstein,0
2017-10-02,MSNBC,Others,4
2017-10-02,MSNBC,Weinstein,0
2017-10-03,Bloomberg,Others,6
2017-10-03,Bloomberg,Weinstein,0
2017-10-03,CNBC,Others,0
2017-10-03,CNBC,Weinstein,0
2017-10-03,CNN,Others,0
2017-10-03,CNN,Weinstein,0
2017-10-03,Fox Business,Others,0
2017-10-03,Fox Business,Weinstein,0
2017-10-03,Fox News,Others,0
2017-10-03,Fox News,Weinstein,0
2017-10-03,MSNBC,Others,1
2017-10-03,MSNBC,Weinstein,0
2017-10-04,Bloomberg,Others,5
2017-10-04,Bloomberg,Weinstein,0
2017-10-04,CNBC,Others,0
2017-10-04,CNBC,Weinstein,0
2017-10-04,CNN,Others,0
2017-10-04,CNN,Weinstein,0
2017-10-04,Fox Business,Others,0
2017-10-04,Fox Business,Weinstein,0
2017-10-04,Fox News,Others,0
2017-10-04,Fox News,Weinstein,0
2017-10-04,MSNBC,Others,0
2017-10-04,MSNBC,Weinstein,0
2017-10-05,Bloomberg,Others,5
2017-10-05,Bloomberg,Weinstein,0
2017-10-05,CNBC,Others,0
2017-10-05,CNBC,Weinstein,3
2017-10-05,CNN,Others,2
2017-10-05,CNN,Weinstein,5
2017-10-05,Fox Business,Others,0
2017-10-05,Fox Business,Weinstein,0
2017-10-05,Fox News,Others,0
2017-10-05,Fox News,Weinstein,0
2017-10-05,MSNBC,Others,0
2017-10-05,MSNBC,Weinstein,0
2017-10-06,Bloomberg,Others,4
2017-10-06,Bloomberg,Weinstein,4
2017-10-06,CNBC,Others,0
2017-10-06,CNBC,Weinstein,5
2017-10-06,CNN,Others,0
2017-10-06,CNN,Weinstein,0
2017-10-06,Fox Business,Others,0
2017-10-06,Fox Business,Weinstein,8
2017-10-06,Fox News,Others,0
2017-10-06,Fox News,Weinstein,14
2017-10-06,MSNBC,Others,1
2017-10-06,MSNBC,Weinstein,5
2017-10-07,Bloomberg,Others,3
2017-10-07,Bloomberg,Weinstein,0
2017-10-07,CNBC,Others,0
2017-10-07,CNBC,Weinstein,0
2017-10-07,CNN,Others,0
2017-10-07,CNN,Weinstein,4
2017-10-07,Fox Business,Others,0
2017-10-07,Fox Business,Weinstein,0
2017-10-07,Fox News,Others,0
2017-10-07,Fox News,Weinstein,13
2017-10-07,MSNBC,Others,8
2017-10-07,MSNBC,Weinstein,3
2017-10-08,Bloomberg,Others,3
2017-10-08,Bloomberg,Weinstein,2
2017-10-08,CNBC,Others,0
2017-10-08,CNBC,Weinstein,0
2017-10-08,CNN,Others,0
2017-10-08,CNN,Weinstein,23
