name,count_show_mentions_person
matthew weiner,1
nick carter,1
gary goddard,2
michael fallon,2
george takei,3
matt zimmerman,3
richard dreyfuss,3
ruben kihuen,3
james levine,4
brett ratner,5
jeffrey tambor,5
james toback,6
jeremy piven,6
john lasseter,6
garrison keillor,11
russell simmons,11
dustin hoffman,13
glenn thrush,27
blake farenthold,28
louis ck,34
trent franks,51
mark halperin,66
kevin spacey,130
matt lauer,130
charlie rose,184
john conyers,451
al franken,723
harvey weinstein,788
roy moore,1319
