date,name,count_show_mentions_person_date,max,max_name
2017-10-01T00:00:00Z,glenn thrush,0,NA,
2017-10-01T00:00:00Z,harvey weinstein,0,NA,
2017-10-01T00:00:00Z,mark halperin,0,NA,
2017-10-01T00:00:00Z,matt lauer,0,NA,
2017-10-01T00:00:00Z,roy moore,10,NA,
2017-10-01T00:00:00Z,ruben kihuen,0,NA,
2017-10-02T00:00:00Z,glenn thrush,0,NA,
2017-10-02T00:00:00Z,harvey weinstein,0,NA,
2017-10-02T00:00:00Z,mark halperin,0,NA,
2017-10-02T00:00:00Z,matt lauer,2,NA,
2017-10-02T00:00:00Z,roy moore,1,NA,
2017-10-02T00:00:00Z,ruben kihuen,1,1,Ruben Kihuen
2017-10-03T00:00:00Z,glenn thrush,0,NA,
2017-10-03T00:00:00Z,harvey weinstein,0,NA,
2017-10-03T00:00:00Z,mark halperin,1,NA,
2017-10-03T00:00:00Z,matt lauer,0,NA,
2017-10-03T00:00:00Z,roy moore,0,NA,
2017-10-03T00:00:00Z,ruben kihuen,0,NA,
2017-10-04T00:00:00Z,glenn thrush,0,NA,
2017-10-04T00:00:00Z,harvey weinstein,0,NA,
2017-10-04T00:00:00Z,mark halperin,0,NA,
2017-10-04T00:00:00Z,matt lauer,0,NA,
2017-10-04T00:00:00Z,roy moore,0,NA,
2017-10-04T00:00:00Z,ruben kihuen,0,NA,
2017-10-05T00:00:00Z,glenn thrush,1,NA,
2017-10-05T00:00:00Z,harvey weinstein,1,NA,
2017-10-05T00:00:00Z,mark halperin,0,NA,
2017-10-05T00:00:00Z,matt lauer,0,NA,
2017-10-05T00:00:00Z,roy moore,3,NA,
2017-10-05T00:00:00Z,ruben kihuen,0,NA,
2017-10-06T00:00:00Z,glenn thrush,1,NA,
2017-10-06T00:00:00Z,harvey weinstein,8,NA,
2017-10-06T00:00:00Z,mark halperin,0,NA,
2017-10-06T00:00:00Z,matt lauer,0,NA,
2017-10-06T00:00:00Z,roy moore,4,NA,
2017-10-06T00:00:00Z,ruben kihuen,0,NA,
2017-10-07T00:00:00Z,glenn thrush,0,NA,
2017-10-07T00:00:00Z,harvey weinstein,7,NA,
2017-10-07T00:00:00Z,mark halperin,0,NA,
2017-10-07T00:00:00Z,matt lauer,3,NA,
2017-10-07T00:00:00Z,roy moore,2,NA,
2017-10-07T00:00:00Z,ruben kihuen,0,NA,
2017-10-08T00:00:00Z,al franken,0,NA,
2017-10-08T00:00:00Z,charlie rose,0,NA,
2017-10-08T00:00:00Z,glenn thrush,0,NA,
2017-10-08T00:00:00Z,harvey weinstein,15,NA,
2017-10-08T00:00:00Z,john conyers,0,NA,
2017-10-08T00:00:00Z,mark halperin,0,NA,
2017-10-08T00:00:00Z,roy moore,1,NA,
2017-10-08T00:00:00Z,russell simmons,1,NA,
2017-10-09T00:00:00Z,al franken,1,NA,
2017-10-09T00:00:00Z,charlie rose,0,NA,
2017-10-09T00:00:00Z,glenn thrush,0,NA,
2017-10-09T00:00:00Z,harvey weinstein,24,NA,
2017-10-09T00:00:00Z,john conyers,0,NA,
2017-10-09T00:00:00Z,mark halperin,0,NA,
2017-10-09T00:00:00Z,roy moore,2,NA,
2017-10-09T00:00:00Z,russell simmons,0,NA,
2017-10-10T00:00:00Z,al franken,0,NA,
2017-10-10T00:00:00Z,charlie rose,0,NA,
2017-10-10T00:00:00Z,glenn thrush,0,NA,
2017-10-10T00:00:00Z,harvey weinstein,34,NA,
2017-10-10T00:00:00Z,john conyers,0,NA,
2017-10-10T00:00:00Z,mark halperin,0,NA,
2017-10-10T00:00:00Z,roy moore,9,NA,
2017-10-10T00:00:00Z,russell simmons,0,NA,
2017-10-11T00:00:00Z,al franken,0,NA,
2017-10-11T00:00:00Z,charlie rose,0,NA,
2017-10-11T00:00:00Z,glenn thrush,1,NA,
2017-10-11T00:00:00Z,harvey weinstein,55,55,Harvey Weinstein
2017-10-11T00:00:00Z,john conyers,0,NA,
2017-10-11T00:00:00Z,mark halperin,0,NA,
2017-10-11T00:00:00Z,roy moore,5,NA,
