date,station,name,count_show_mentions_person_station_date
2017-10-01T00:00:00Z,CNN,glenn thrush,0
2017-10-01T00:00:00Z,CNN,harvey weinstein,0
2017-10-01T00:00:00Z,CNN,roy moore,1
2017-10-01T00:00:00Z,Fox News,harvey weinstein,0
2017-10-01T00:00:00Z,Fox News,roy moore,5
2017-10-01T00:00:00Z,MSNBC,glenn thrush,0
2017-10-01T00:00:00Z,MSNBC,harvey weinstein,0
2017-10-01T00:00:00Z,MSNBC,mark halperin,0
2017-10-01T00:00:00Z,MSNBC,matt lauer,0
2017-10-01T00:00:00Z,MSNBC,roy moore,4
2017-10-01T00:00:00Z,MSNBC,ruben kihuen,0
2017-10-02T00:00:00Z,CNN,glenn thrush,0
2017-10-02T00:00:00Z,CNN,harvey weinstein,0
2017-10-02T00:00:00Z,CNN,roy moore,0
2017-10-02T00:00:00Z,Fox News,harvey weinstein,0
2017-10-02T00:00:00Z,Fox News,roy moore,1
2017-10-02T00:00:00Z,MSNBC,glenn thrush,0
2017-10-02T00:00:00Z,MSNBC,harvey weinstein,0
2017-10-02T00:00:00Z,MSNBC,mark halperin,0
2017-10-02T00:00:00Z,MSNBC,matt lauer,2
2017-10-02T00:00:00Z,MSNBC,roy moore,0
2017-10-02T00:00:00Z,MSNBC,ruben kihuen,1
2017-10-03T00:00:00Z,CNN,glenn thrush,0
2017-10-03T00:00:00Z,CNN,harvey weinstein,0
2017-10-03T00:00:00Z,CNN,roy moore,0
2017-10-03T00:00:00Z,Fox News,harvey weinstein,0
2017-10-03T00:00:00Z,Fox News,roy moore,0
2017-10-03T00:00:00Z,MSNBC,glenn thrush,0
2017-10-03T00:00:00Z,MSNBC,harvey weinstein,0
2017-10-03T00:00:00Z,MSNBC,mark halperin,1
2017-10-03T00:00:00Z,MSNBC,matt lauer,0
2017-10-03T00:00:00Z,MSNBC,roy moore,0
2017-10-03T00:00:00Z,MSNBC,ruben kihuen,0
2017-10-04T00:00:00Z,CNN,glenn thrush,0
2017-10-04T00:00:00Z,CNN,harvey weinstein,0
2017-10-04T00:00:00Z,CNN,roy moore,0
2017-10-04T00:00:00Z,Fox News,harvey weinstein,0
2017-10-04T00:00:00Z,Fox News,roy moore,0
2017-10-04T00:00:00Z,MSNBC,glenn thrush,0
2017-10-04T00:00:00Z,MSNBC,harvey weinstein,0
2017-10-04T00:00:00Z,MSNBC,mark halperin,0
2017-10-04T00:00:00Z,MSNBC,matt lauer,0
2017-10-04T00:00:00Z,MSNBC,roy moore,0
2017-10-04T00:00:00Z,MSNBC,ruben kihuen,0
2017-10-05T00:00:00Z,CNN,glenn thrush,1
2017-10-05T00:00:00Z,CNN,harvey weinstein,1
2017-10-05T00:00:00Z,CNN,roy moore,0
2017-10-05T00:00:00Z,Fox News,harvey weinstein,0
2017-10-05T00:00:00Z,Fox News,roy moore,0
2017-10-05T00:00:00Z,MSNBC,glenn thrush,0
2017-10-05T00:00:00Z,MSNBC,harvey weinstein,0
2017-10-05T00:00:00Z,MSNBC,mark halperin,0
2017-10-05T00:00:00Z,MSNBC,matt lauer,0
2017-10-05T00:00:00Z,MSNBC,roy moore,3
2017-10-05T00:00:00Z,MSNBC,ruben kihuen,0
2017-10-06T00:00:00Z,CNN,glenn thrush,0
2017-10-06T00:00:00Z,CNN,harvey weinstein,0
2017-10-06T00:00:00Z,CNN,roy moore,1
2017-10-06T00:00:00Z,Fox News,harvey weinstein,3
2017-10-06T00:00:00Z,Fox News,roy moore,0
2017-10-06T00:00:00Z,MSNBC,glenn thrush,1
2017-10-06T00:00:00Z,MSNBC,harvey weinstein,5
2017-10-06T00:00:00Z,MSNBC,mark halperin,0
2017-10-06T00:00:00Z,MSNBC,matt lauer,0
2017-10-06T00:00:00Z,MSNBC,roy moore,3
2017-10-06T00:00:00Z,MSNBC,ruben kihuen,0
2017-10-07T00:00:00Z,CNN,glenn thrush,0
2017-10-07T00:00:00Z,CNN,harvey weinstein,1
2017-10-07T00:00:00Z,CNN,roy moore,0
2017-10-07T00:00:00Z,Fox News,harvey weinstein,5
2017-10-07T00:00:00Z,Fox News,roy moore,0
2017-10-07T00:00:00Z,MSNBC,glenn thrush,0
2017-10-07T00:00:00Z,MSNBC,harvey weinstein,1
2017-10-07T00:00:00Z,MSNBC,mark halperin,0
2017-10-07T00:00:00Z,MSNBC,matt lauer,3
2017-10-07T00:00:00Z,MSNBC,roy moore,2
2017-10-07T00:00:00Z,MSNBC,ruben kihuen,0
2017-10-08T00:00:00Z,CNN,harvey weinstein,7
2017-10-08T00:00:00Z,CNN,roy moore,0
2017-10-08T00:00:00Z,Fox News,charlie rose,0
2017-10-08T00:00:00Z,Fox News,harvey weinstein,4
2017-10-08T00:00:00Z,Fox News,john conyers,0
2017-10-08T00:00:00Z,MSNBC,al franken,0
2017-10-08T00:00:00Z,MSNBC,glenn thrush,0
2017-10-08T00:00:00Z,MSNBC,harvey weinstein,4
2017-10-08T00:00:00Z,MSNBC,mark halperin,0
2017-10-08T00:00:00Z,MSNBC,roy moore,1
2017-10-08T00:00:00Z,MSNBC,russell simmons,1
2017-10-09T00:00:00Z,CNN,harvey weinstein,8
2017-10-09T00:00:00Z,CNN,roy moore,1
2017-10-09T00:00:00Z,Fox News,charlie rose,0
2017-10-09T00:00:00Z,Fox News,harvey weinstein,5
2017-10-09T00:00:00Z,Fox News,john conyers,0
2017-10-09T00:00:00Z,MSNBC,al franken,1
2017-10-09T00:00:00Z,MSNBC,glenn thrush,0
2017-10-09T00:00:00Z,MSNBC,harvey weinstein,11
2017-10-09T00:00:00Z,MSNBC,mark halperin,0
2017-10-09T00:00:00Z,MSNBC,roy moore,1
2017-10-09T00:00:00Z,MSNBC,russell simmons,0
2017-10-10T00:00:00Z,CNN,harvey weinstein,12
2017-10-10T00:00:00Z,CNN,roy moore,1
2017-10-10T00:00:00Z,Fox News,charlie rose,0
2017-10-10T00:00:00Z,Fox News,harvey weinstein,12
